Video Title,Description,Video URL,Published At,Channel Title,Channel ID,Channel Description,Subscriber Count,Total Views,Video Count,Views,Likes,Dislikes,Comments,Channel URL
Can you guess the most polluted city?  || #shorts #didyouknow,Liked this video? Two ways you can support us! COMMENT/SHARE the Video  - Make these stories reach maximum people ...,https://www.youtube.com/watch?v=ZlpMtzrUhns,2024-09-11T15:22:42Z,Sarthak Goswami,UC5fcjujOsqD-126Chn_BAuA,"Sarthak Goswami is a multi-disciplinary entertainer with over 10 Million+  cumulative digital reach across different platforms.

Sarthak brings esoteric news and concepts like politics, social issues,  science & technology, finance to the fore and translates them into simple digestible content for his audience all while following his simple mantra- ‘Marrying News with Entertainment.’
Our viewers are not limited to the Indian subcontinent, but  spread across the globe including countries like the USA, Bangladesh, Pakistan and Nepal etc. 
Our channel has an extensive pool of audience, dominated by the age group 16-30.
",1320000,453589991,896,788344,48285,0,636,https://www.youtube.com/channel/UC5fcjujOsqD-126Chn_BAuA
POLLUTION #pollution || WHAT IS POLLUTION#shorts#viral#pollutants#waterpollution#airpollution,POLLUTION #pollution || WHAT IS POLLUTION#shorts#viral#pollutants#waterpollution#airpollution what is pollution what is ...,https://www.youtube.com/watch?v=RWzaqWeztAA,2024-01-18T12:48:13Z,ONLY FOR LEARNERS,UCKE_eT_r_MQoMacWBkgyu7A,"Hii I am Nitin Kumar a Biology Student . I love to study and learn about biology and biology related topics.  

Why you Subscribe my channel !

This YouTube channel for those who wants to learn something new and if you are also a Biology lover then you must have to subscribe this YouTube channel, I share videos frequently at this YouTube channel . It will help you to enhance your knowledge and keep you updated. If you are also targeting any entrance exam like neet then subscribe this channel.

If you visiting first time at my YouTube channel "" about "" section then please share your feedback in the the video Comment, It will be a great help for me .

",9090,1982873,942,3174,124,0,4,https://www.youtube.com/channel/UCKE_eT_r_MQoMacWBkgyu7A
Tired of pollution? Krrish Chawla&#39;s Breathify is an affordable and effective solution! #OMGIndia,Good for you and great for the environment? This affordable yet revolutionary air purifier uses over 98% less plastic than other air ...,https://www.youtube.com/watch?v=_WHjcQYPS2o,2024-06-13T10:52:49Z,HISTORY TV18,UCh0Ob3N4miyi773toqSYj-A,"HISTORY is made by those who write it. We write it in True HD. Making HISTORY everyday, one story at a time.",4090000,400884536,3725,1917,99,0,2,https://www.youtube.com/channel/UCh0Ob3N4miyi773toqSYj-A
